epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,647.972,1.29577,2.95048,1.85102,0.65773,0.32239,0.43213,0.25859,1.44978,3.4037,2.63694,0.0023761,0.000792032,0.0023761,0.000792032,0.0023761,0.000792032,0.0023761,0.000792032
31,669.566,1.2928,2.86149,1.86033,0.91656,0.29451,0.43189,0.25764,1.44298,3.37454,2.63132,0.0023431,0.000781033,0.0023431,0.000781033,0.0023431,0.000781033,0.0023431,0.000781033
32,691.835,1.33818,2.91988,1.90372,0.91813,0.29451,0.42815,0.25492,1.436,3.32343,2.61244,0.0023101,0.000770034,0.0023101,0.000770034,0.0023101,0.000770034,0.0023101,0.000770034
33,715.127,1.2234,2.79756,1.79428,0.93102,0.30989,0.43544,0.25896,1.43185,3.26447,2.58344,0.00227711,0.000759035,0.00227711,0.000759035,0.00227711,0.000759035,0.00227711,0.000759035
34,737.938,1.22983,2.83888,1.82007,0.90857,0.30989,0.42832,0.25627,1.40561,3.23951,2.54628,0.00224411,0.000748036,0.00224411,0.000748036,0.00224411,0.000748036,0.00224411,0.000748036
35,762.18,1.20024,2.79963,1.77935,0.92185,0.30989,0.46905,0.291,1.41459,3.17664,2.535,0.00221111,0.000737037,0.00221111,0.000737037,0.00221111,0.000737037,0.00221111,0.000737037
36,785.277,1.1861,2.70044,1.74812,0.706,0.3282,0.45375,0.29212,1.4034,3.17877,2.52374,0.00217812,0.000726038,0.00217812,0.000726038,0.00217812,0.000726038,0.00217812,0.000726038
37,805.359,1.17268,2.76197,1.78799,0.73461,0.33525,0.47144,0.28802,1.41019,3.14432,2.51122,0.00214512,0.00071504,0.00214512,0.00071504,0.00214512,0.00071504,0.00214512,0.00071504
38,825.209,1.19921,2.8207,1.78642,0.92919,0.33589,0.47796,0.29082,1.42155,3.13768,2.51938,0.00211212,0.000704041,0.00211212,0.000704041,0.00211212,0.000704041,0.00211212,0.000704041
39,845.529,1.15731,2.68588,1.75582,0.93035,0.32297,0.50292,0.29008,1.43824,3.0591,2.51989,0.00207913,0.000693042,0.00207913,0.000693042,0.00207913,0.000693042,0.00207913,0.000693042
40,865.556,1.15763,2.69115,1.73048,0.95426,0.31578,0.50666,0.29681,1.46898,3.01814,2.54154,0.00204613,0.000682043,0.00204613,0.000682043,0.00204613,0.000682043,0.00204613,0.000682043
41,886.339,1.13549,2.68808,1.73206,0.95297,0.32527,0.52326,0.30126,1.47184,2.98996,2.53984,0.00201313,0.000671044,0.00201313,0.000671044,0.00201313,0.000671044,0.00201313,0.000671044
42,906.354,1.19475,2.69043,1.78498,0.95859,0.32527,0.54493,0.31662,1.49914,2.98631,2.5745,0.00198014,0.000660045,0.00198014,0.000660045,0.00198014,0.000660045,0.00198014,0.000660045
43,926.742,1.22918,2.63468,1.80109,0.395,0.45344,0.55588,0.33295,1.47962,2.95,2.5164,0.00194714,0.000649046,0.00194714,0.000649046,0.00194714,0.000649046,0.00194714,0.000649046
