epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,27.4089,1.96097,3.31302,2.11516,0.0038,1,0.10198,0.03936,1.81732,3.6301,2.87299,0.00056661,0.00018887,0.00056661,0.00018887,0.00056661,0.00018887,0.00056661,0.00018887
2,51.1321,1.93201,3.34708,2.10936,0.00367,1,0.0897,0.03393,1.80353,3.63688,2.82666,0.001155,0.000385,0.001155,0.000385,0.001155,0.000385,0.001155,0.000385
3,65.2754,1.95265,3.28135,2.01758,0.0036,1,0.08847,0.03414,1.78901,3.63259,2.75852,0.00173151,0.000577171,0.00173151,0.000577171,0.00173151,0.000577171,0.00173151,0.000577171
4,78.5088,1.91287,3.31068,1.98248,0.00358,1,0.0889,0.03289,1.72925,3.62056,2.652,0.00229615,0.000765382,0.00229615,0.000765382,0.00229615,0.000765382,0.00229615,0.000765382
5,89.9906,1.92684,3.28848,1.97106,0.00354,1,0.08672,0.03639,1.69383,3.59332,2.58771,0.0028489,0.000949634,0.0028489,0.000949634,0.0028489,0.000949634,0.0028489,0.000949634
6,103.739,1.85099,3.26955,1.99459,0.00348,1,0.09837,0.04221,1.63526,3.58078,2.49753,0.00316802,0.00105601,0.00316802,0.00105601,0.00316802,0.00105601,0.00316802,0.00105601
7,118.572,1.76293,3.26448,1.91177,0.00344,1,0.10551,0.04493,1.58903,3.54233,2.4251,0.00313502,0.00104501,0.00313502,0.00104501,0.00313502,0.00104501,0.00313502,0.00104501
8,134.672,1.76729,3.27586,1.87813,0.00337,1,0.1068,0.04868,1.55182,3.53146,2.33893,0.00310202,0.00103401,0.00310202,0.00103401,0.00310202,0.00103401,0.00310202,0.00103401
9,147.251,1.5987,3.26982,1.77152,0.00335,1,0.11208,0.05293,1.5131,3.51282,2.28578,0.00306903,0.00102301,0.00306903,0.00102301,0.00306903,0.00102301,0.00306903,0.00102301
10,159.571,1.65907,3.24048,1.81408,0.00335,1,0.11353,0.05412,1.47583,3.49558,2.22869,0.00303603,0.00101201,0.00303603,0.00101201,0.00303603,0.00101201,0.00303603,0.00101201
11,172.284,1.62018,3.20536,1.73502,0.00337,1,0.11865,0.05552,1.37082,3.45253,2.10522,0.00300303,0.00100101,0.00300303,0.00100101,0.00300303,0.00100101,0.00300303,0.00100101
12,182.861,1.58573,3.23706,1.77349,0.00338,1,0.14299,0.06745,1.33527,3.42533,2.05297,0.00297004,0.000990012,0.00297004,0.000990012,0.00297004,0.000990012,0.00297004,0.000990012
13,193.879,1.59114,3.19891,1.74814,0.00339,1,0.12603,0.06266,1.29702,3.41247,2.00815,0.00293704,0.000979013,0.00293704,0.000979013,0.00293704,0.000979013,0.00293704,0.000979013
14,204.363,1.53131,3.21541,1.70947,0.0034,1,0.15233,0.07791,1.24445,3.38618,1.92993,0.00290404,0.000968014,0.00290404,0.000968014,0.00290404,0.000968014,0.00290404,0.000968014
15,214.971,1.46503,3.17647,1.63785,0.0034,1,0.15364,0.07992,1.22613,3.39313,1.90193,0.00287105,0.000957015,0.00287105,0.000957015,0.00287105,0.000957015,0.00287105,0.000957015
