epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2922.15,0,127.209,0,0,0,0,0,0,217.23,0,8.89412e-05,2.96471e-05,8.89412e-05,2.96471e-05,8.89412e-05,2.96471e-05,8.89412e-05,2.96471e-05
2,5193.57,0,126.25,0,0,0,0,0,0,224.154,0,0.00017717,5.90566e-05,0.00017717,5.90566e-05,0.00017717,5.90566e-05,0.00017717,5.90566e-05
3,7423.83,0,124.603,0,0,0,0,0,0,223.281,0,0.000263616,8.7872e-05,0.000263616,8.7872e-05,0.000263616,8.7872e-05,0.000263616,8.7872e-05
4,9644.73,0,122.216,0,0,0,0,0,0,218.506,0,0.000261981,8.7327e-05,0.000261981,8.7327e-05,0.000261981,8.7327e-05,0.000261981,8.7327e-05
5,11848.8,0,119.402,0,0,0,0,0,0,213.379,0,0.000259308,8.6436e-05,0.000259308,8.6436e-05,0.000259308,8.6436e-05,0.000259308,8.6436e-05
