epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,25.8676,1.96097,3.31302,2.11516,0.0038,1,0.10198,0.03936,1.81732,3.6301,2.87299,0.00056661,0.00018887,0.00056661,0.00018887,0.00056661,0.00018887,0.00056661,0.00018887
2,47.5358,1.93338,3.34733,2.11111,0.00367,1,0.09173,0.03352,1.81142,3.63573,2.82815,0.00112805,0.000376018,0.00112805,0.000376018,0.00112805,0.000376018,0.00112805,0.000376018
3,61.6368,1.94679,3.28252,2.01625,0.00359,1,0.08499,0.03271,1.78105,3.63686,2.73514,0.0016499,0.000549967,0.0016499,0.000549967,0.0016499,0.000549967,0.0016499,0.000549967
4,74.2526,1.92088,3.31167,1.98308,0.0036,1,0.08233,0.03019,1.73378,3.60203,2.66192,0.00213215,0.000710718,0.00213215,0.000710718,0.00213215,0.000710718,0.00213215,0.000710718
5,87.9269,1.94316,3.2917,1.98301,0.00353,1,0.08322,0.03307,1.68296,3.60141,2.58634,0.00257481,0.00085827,0.00257481,0.00085827,0.00257481,0.00085827,0.00257481,0.00085827
