epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,19.9723,1.95898,3.35336,2.07052,0.00415,1,0.13814,0.05972,1.8132,3.56695,2.78547,0.00056661,0.00018887,0.00056661,0.00018887,0.00056661,0.00018887,0.00056661,0.00018887
2,32.4229,1.87856,3.32112,2.05566,0.00402,1,0.12822,0.05636,1.74393,3.5635,2.65857,0.001155,0.000385,0.001155,0.000385,0.001155,0.000385,0.001155,0.000385
3,42.514,1.85957,3.26248,2.04144,0.00395,1,0.11436,0.05394,1.71039,3.56692,2.5726,0.00173151,0.000577171,0.00173151,0.000577171,0.00173151,0.000577171,0.00173151,0.000577171
4,53.924,1.83076,3.3033,1.92864,0.00388,1,0.10453,0.05262,1.58347,3.54542,2.46272,0.00229615,0.000765382,0.00229615,0.000765382,0.00229615,0.000765382,0.00229615,0.000765382
5,64.2278,1.89872,3.26401,2.0022,0.00385,1,0.10581,0.04833,1.55442,3.53365,2.41441,0.0028489,0.000949634,0.0028489,0.000949634,0.0028489,0.000949634,0.0028489,0.000949634
6,74.14,1.74099,3.2509,1.92006,0.00379,1,0.1044,0.04819,1.51762,3.50243,2.31654,0.00316802,0.00105601,0.00316802,0.00105601,0.00316802,0.00105601,0.00316802,0.00105601
7,83.6928,1.6839,3.21973,1.81971,0.00371,1,0.11697,0.05673,1.46581,3.468,2.22647,0.00313502,0.00104501,0.00313502,0.00104501,0.00313502,0.00104501,0.00313502,0.00104501
8,93.1923,1.61616,3.22199,1.75278,0.00365,1,0.1322,0.05908,1.46414,3.4396,2.19404,0.00310202,0.00103401,0.00310202,0.00103401,0.00310202,0.00103401,0.00310202,0.00103401
9,102.89,1.496,3.23424,1.75313,0.00362,1,0.14734,0.07816,1.43033,3.42224,2.15896,0.00306903,0.00102301,0.00306903,0.00102301,0.00306903,0.00102301,0.00306903,0.00102301
10,112.879,1.54666,3.17504,1.67875,0.00357,1,0.14265,0.07913,1.35522,3.38402,2.07431,0.00303603,0.00101201,0.00303603,0.00101201,0.00303603,0.00101201,0.00303603,0.00101201
11,123.157,1.57492,3.23168,1.67275,0.00357,1,0.1991,0.10152,1.29646,3.34039,1.99442,0.00300303,0.00100101,0.00300303,0.00100101,0.00300303,0.00100101,0.00300303,0.00100101
12,132.445,1.44261,3.15955,1.62627,0.00355,1,0.19407,0.10871,1.26033,3.31655,1.92358,0.00297004,0.000990012,0.00297004,0.000990012,0.00297004,0.000990012,0.00297004,0.000990012
13,141.915,1.5529,3.19411,1.69457,0.00353,1,0.17743,0.11706,1.18753,3.31806,1.84627,0.00293704,0.000979013,0.00293704,0.000979013,0.00293704,0.000979013,0.00293704,0.000979013
14,151.722,1.38502,3.16853,1.60162,0.00354,1,0.18462,0.12373,1.14794,3.28851,1.80598,0.00290404,0.000968014,0.00290404,0.000968014,0.00290404,0.000968014,0.00290404,0.000968014
15,161.642,1.37601,3.16231,1.59175,0.00354,1,0.2401,0.16158,1.08259,3.24897,1.75655,0.00287105,0.000957015,0.00287105,0.000957015,0.00287105,0.000957015,0.00287105,0.000957015
16,171.026,1.38119,3.129,1.55776,0.14525,0.45062,0.26859,0.19671,1.05539,3.21668,1.72388,0.00283805,0.000946016,0.00283805,0.000946016,0.00283805,0.000946016,0.00283805,0.000946016
17,181.142,1.36547,3.16621,1.55628,0.31384,0.25102,0.25054,0.18283,1.02331,3.19356,1.68128,0.00280505,0.000935018,0.00280505,0.000935018,0.00280505,0.000935018,0.00280505,0.000935018
18,191.418,1.29434,3.11071,1.50853,0.71295,0.17143,0.26951,0.19309,0.99363,3.15212,1.6403,0.00277206,0.000924019,0.00277206,0.000924019,0.00277206,0.000924019,0.00277206,0.000924019
19,202.045,1.20416,3.09544,1.46704,0.72548,0.17143,0.30346,0.21366,0.9466,3.09781,1.57573,0.00273906,0.00091302,0.00273906,0.00091302,0.00273906,0.00091302,0.00273906,0.00091302
20,211.477,1.24367,3.05241,1.48643,0.87115,0.17143,0.31846,0.21803,0.94038,3.06167,1.56129,0.00270606,0.000902021,0.00270606,0.000902021,0.00270606,0.000902021,0.00270606,0.000902021
21,221.352,1.21808,3.02831,1.4728,0.74021,0.17143,0.31996,0.22762,0.93256,3.03515,1.54034,0.00267307,0.000891022,0.00267307,0.000891022,0.00267307,0.000891022,0.00267307,0.000891022
22,230.98,1.19684,3.06337,1.45889,0.74542,0.2,0.35444,0.24802,0.93994,2.99879,1.53718,0.00264007,0.000880023,0.00264007,0.000880023,0.00264007,0.000880023,0.00264007,0.000880023
23,240.812,1.10718,3.00566,1.39762,0.74238,0.2,0.34802,0.24087,0.91901,2.98004,1.51683,0.00260707,0.000869024,0.00260707,0.000869024,0.00260707,0.000869024,0.00260707,0.000869024
24,250.272,1.14091,3.03967,1.40366,0.73602,0.2,0.36233,0.25409,0.91321,2.94106,1.50264,0.00257408,0.000858025,0.00257408,0.000858025,0.00257408,0.000858025,0.00257408,0.000858025
25,260.17,1.0913,2.91677,1.37787,0.73508,0.21335,0.35065,0.24989,0.91652,2.90796,1.4979,0.00254108,0.000847026,0.00254108,0.000847026,0.00254108,0.000847026,0.00254108,0.000847026
26,270.738,1.13346,2.97836,1.38508,0.73472,0.21429,0.33565,0.23727,0.92078,2.86729,1.49146,0.00250808,0.000836027,0.00250808,0.000836027,0.00250808,0.000836027,0.00250808,0.000836027
27,281.11,1.07264,2.95674,1.37888,0.74499,0.23316,0.36858,0.25897,0.90317,2.82717,1.46244,0.00247509,0.000825029,0.00247509,0.000825029,0.00247509,0.000825029,0.00247509,0.000825029
28,291.865,1.06278,2.97769,1.36091,0.7469,0.24602,0.38685,0.27712,0.86697,2.78702,1.43427,0.00244209,0.00081403,0.00244209,0.00081403,0.00244209,0.00081403,0.00244209,0.00081403
29,302.088,1.0448,2.89352,1.32934,0.75924,0.27143,0.38892,0.2806,0.87413,2.76889,1.43767,0.00240909,0.000803031,0.00240909,0.000803031,0.00240909,0.000803031,0.00240909,0.000803031
