epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,18.4507,1.96097,3.31302,2.11516,0.0038,1,0.10198,0.03936,1.81732,3.6301,2.87299,0.00056661,0.00018887,0.00056661,0.00018887,0.00056661,0.00018887,0.00056661,0.00018887
2,31.3392,1.93201,3.34708,2.10936,0.00367,1,0.0897,0.03393,1.80353,3.63688,2.82666,0.001155,0.000385,0.001155,0.000385,0.001155,0.000385,0.001155,0.000385
3,42.028,1.95265,3.28135,2.01758,0.0036,1,0.08847,0.03414,1.78901,3.63259,2.75852,0.00173151,0.000577171,0.00173151,0.000577171,0.00173151,0.000577171,0.00173151,0.000577171
4,53.1825,1.91287,3.31068,1.98248,0.00358,1,0.0889,0.03289,1.72925,3.62056,2.652,0.00229615,0.000765382,0.00229615,0.000765382,0.00229615,0.000765382,0.00229615,0.000765382
5,64.3687,1.92684,3.28848,1.97106,0.00354,1,0.08672,0.03639,1.69383,3.59332,2.58771,0.0028489,0.000949634,0.0028489,0.000949634,0.0028489,0.000949634,0.0028489,0.000949634
6,75.0628,1.85099,3.26955,1.99459,0.00348,1,0.09837,0.04221,1.63526,3.58078,2.49753,0.00316802,0.00105601,0.00316802,0.00105601,0.00316802,0.00105601,0.00316802,0.00105601
7,85.7236,1.76293,3.26448,1.91177,0.00344,1,0.10551,0.04493,1.58903,3.54233,2.4251,0.00313502,0.00104501,0.00313502,0.00104501,0.00313502,0.00104501,0.00313502,0.00104501
8,95.8222,1.76729,3.27586,1.87813,0.00337,1,0.1068,0.04868,1.55182,3.53146,2.33893,0.00310202,0.00103401,0.00310202,0.00103401,0.00310202,0.00103401,0.00310202,0.00103401
9,106.308,1.5987,3.26982,1.77152,0.00335,1,0.11208,0.05293,1.5131,3.51282,2.28578,0.00306903,0.00102301,0.00306903,0.00102301,0.00306903,0.00102301,0.00306903,0.00102301
10,116.992,1.65907,3.24048,1.81408,0.00335,1,0.11353,0.05412,1.47583,3.49558,2.22869,0.00303603,0.00101201,0.00303603,0.00101201,0.00303603,0.00101201,0.00303603,0.00101201
11,127.321,1.62018,3.20536,1.73502,0.00337,1,0.11865,0.05552,1.37082,3.45253,2.10522,0.00300303,0.00100101,0.00300303,0.00100101,0.00300303,0.00100101,0.00300303,0.00100101
12,137.206,1.58573,3.23706,1.77349,0.00338,1,0.14299,0.06745,1.33527,3.42533,2.05297,0.00297004,0.000990012,0.00297004,0.000990012,0.00297004,0.000990012,0.00297004,0.000990012
13,147.215,1.59114,3.19891,1.74814,0.00339,1,0.12603,0.06266,1.29702,3.41247,2.00815,0.00293704,0.000979013,0.00293704,0.000979013,0.00293704,0.000979013,0.00293704,0.000979013
14,157.319,1.53131,3.21541,1.70947,0.0034,1,0.15233,0.07791,1.24445,3.38618,1.92993,0.00290404,0.000968014,0.00290404,0.000968014,0.00290404,0.000968014,0.00290404,0.000968014
15,168.236,1.46503,3.17647,1.63785,0.0034,1,0.15364,0.07992,1.22613,3.39313,1.90193,0.00287105,0.000957015,0.00287105,0.000957015,0.00287105,0.000957015,0.00287105,0.000957015
16,179.885,1.4317,3.16383,1.60012,0.00342,1,0.1803,0.09273,1.19656,3.38666,1.86017,0.00283805,0.000946016,0.00283805,0.000946016,0.00283805,0.000946016,0.00283805,0.000946016
17,190.139,1.36367,3.17642,1.6534,0.30844,0.08571,0.21124,0.10491,1.15962,3.35149,1.81854,0.00280505,0.000935018,0.00280505,0.000935018,0.00280505,0.000935018,0.00280505,0.000935018
18,200.797,1.35481,3.17546,1.57439,0.96257,0.02857,0.21595,0.10937,1.15214,3.33926,1.79515,0.00277206,0.000924019,0.00277206,0.000924019,0.00277206,0.000924019,0.00277206,0.000924019
19,210.884,1.35958,3.1853,1.57755,0.91063,0.02857,0.25609,0.13716,1.07201,3.31877,1.71323,0.00273906,0.00091302,0.00273906,0.00091302,0.00273906,0.00091302,0.00273906,0.00091302
20,220.937,1.30004,3.14747,1.54724,0.70688,0.02857,0.25135,0.13429,1.0556,3.30015,1.67438,0.00270606,0.000902021,0.00270606,0.000902021,0.00270606,0.000902021,0.00270606,0.000902021
21,231.391,1.2824,3.18305,1.52879,0.70364,0.03117,0.24385,0.13272,1.02132,3.29132,1.64967,0.00267307,0.000891022,0.00267307,0.000891022,0.00267307,0.000891022,0.00267307,0.000891022
22,241.703,1.29238,3.14315,1.53147,0.72073,0.04364,0.26844,0.13351,0.991,3.27181,1.61773,0.00264007,0.000880023,0.00264007,0.000880023,0.00264007,0.000880023,0.00264007,0.000880023
23,252.002,1.27298,3.14779,1.52604,0.93867,0.06514,0.28618,0.1474,0.96925,3.25594,1.58973,0.00260707,0.000869024,0.00260707,0.000869024,0.00260707,0.000869024,0.00260707,0.000869024
24,261.865,1.29502,3.1851,1.52511,0.74453,0.07477,0.2763,0.15054,0.96597,3.23811,1.56851,0.00257408,0.000858025,0.00257408,0.000858025,0.00257408,0.000858025,0.00257408,0.000858025
25,271.355,1.25393,3.13247,1.51772,0.73941,0.07143,0.2628,0.14846,0.97262,3.23475,1.58014,0.00254108,0.000847026,0.00254108,0.000847026,0.00254108,0.000847026,0.00254108,0.000847026
26,281.078,1.18307,3.10065,1.47115,0.74526,0.07623,0.28415,0.16011,0.96724,3.21755,1.56849,0.00250808,0.000836027,0.00250808,0.000836027,0.00250808,0.000836027,0.00250808,0.000836027
27,291.579,1.1317,3.05712,1.41512,0.74514,0.07143,0.28477,0.16538,0.92853,3.20898,1.53176,0.00247509,0.000825029,0.00247509,0.000825029,0.00247509,0.000825029,0.00247509,0.000825029
28,301.912,1.19205,3.07372,1.46434,0.52304,0.09169,0.28168,0.17138,0.91204,3.19507,1.5163,0.00244209,0.00081403,0.00244209,0.00081403,0.00244209,0.00081403,0.00244209,0.00081403
29,312.239,1.19686,3.07118,1.47932,0.52594,0.11429,0.27731,0.17998,0.89818,3.17521,1.50153,0.00240909,0.000803031,0.00240909,0.000803031,0.00240909,0.000803031,0.00240909,0.000803031
30,322.166,1.16621,3.05971,1.41974,0.56558,0.11342,0.28535,0.18329,0.90627,3.14695,1.49677,0.0023761,0.000792032,0.0023761,0.000792032,0.0023761,0.000792032,0.0023761,0.000792032
31,332.021,1.11149,3.0216,1.41548,0.59649,0.17712,0.28265,0.18119,0.92547,3.12157,1.4953,0.0023431,0.000781033,0.0023431,0.000781033,0.0023431,0.000781033,0.0023431,0.000781033
32,341.913,1.11581,3.0393,1.41489,0.57854,0.17143,0.29101,0.18484,0.90704,3.09383,1.48544,0.0023101,0.000770034,0.0023101,0.000770034,0.0023101,0.000770034,0.0023101,0.000770034
33,351.778,1.10181,3.03036,1.41941,0.59877,0.19468,0.29039,0.19014,0.8963,3.07148,1.46805,0.00227711,0.000759035,0.00227711,0.000759035,0.00227711,0.000759035,0.00227711,0.000759035
34,361.953,1.03996,2.99749,1.37458,0.61558,0.19812,0.29069,0.18653,0.90182,3.03727,1.45939,0.00224411,0.000748036,0.00224411,0.000748036,0.00224411,0.000748036,0.00224411,0.000748036
35,371.947,1.12892,3.00155,1.40357,0.39215,0.22762,0.2916,0.20584,0.85168,2.98368,1.42041,0.00221111,0.000737037,0.00221111,0.000737037,0.00221111,0.000737037,0.00221111,0.000737037
36,382.634,1.03707,2.96682,1.37169,0.41154,0.23693,0.29953,0.21002,0.85774,2.97005,1.41797,0.00217812,0.000726038,0.00217812,0.000726038,0.00217812,0.000726038,0.00217812,0.000726038
37,392.326,1.07432,3.00409,1.38073,0.39473,0.24095,0.30567,0.21121,0.86379,2.93202,1.42331,0.00214512,0.00071504,0.00214512,0.00071504,0.00214512,0.00071504,0.00214512,0.00071504
38,401.991,1.13545,2.99251,1.39139,0.38777,0.24095,0.31013,0.21036,0.84948,2.91819,1.41333,0.00211212,0.000704041,0.00211212,0.000704041,0.00211212,0.000704041,0.00211212,0.000704041
39,411.833,1.12507,2.95162,1.41452,0.37842,0.24095,0.31046,0.21241,0.85033,2.89526,1.4133,0.00207913,0.000693042,0.00207913,0.000693042,0.00207913,0.000693042,0.00207913,0.000693042
40,421.66,1.08854,2.91621,1.39032,0.16331,0.24095,0.31424,0.21461,0.84743,2.87469,1.40952,0.00204613,0.000682043,0.00204613,0.000682043,0.00204613,0.000682043,0.00204613,0.000682043
41,431.444,0.9956,2.89569,1.34651,0.20795,0.24951,0.32041,0.2236,0.83954,2.85338,1.39884,0.00201313,0.000671044,0.00201313,0.000671044,0.00201313,0.000671044,0.00201313,0.000671044
42,441.182,1.01767,2.88202,1.31428,0.22435,0.25524,0.32347,0.22846,0.82215,2.83375,1.38627,0.00198014,0.000660045,0.00198014,0.000660045,0.00198014,0.000660045,0.00198014,0.000660045
