epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,309.862,0.96988,2.91489,1.30422,0.71666,0.24427,0.32141,0.26272,0.8111,2.72689,1.41421,0.0023761,0.000792032,0.0023761,0.000792032,0.0023761,0.000792032,0.0023761,0.000792032
31,319.559,1.03316,2.88704,1.33512,0.49403,0.25714,0.31594,0.25757,0.78097,2.71555,1.38571,0.0023431,0.000781033,0.0023431,0.000781033,0.0023431,0.000781033,0.0023431,0.000781033
32,330.012,0.97097,2.84163,1.29169,0.76829,0.2,0.3034,0.24806,0.7653,2.70107,1.37055,0.0023101,0.000770034,0.0023101,0.000770034,0.0023101,0.000770034,0.0023101,0.000770034
33,339.722,0.97856,2.83549,1.29264,0.77343,0.2,0.32954,0.26944,0.731,2.65486,1.34573,0.00227711,0.000759035,0.00227711,0.000759035,0.00227711,0.000759035,0.00227711,0.000759035
34,349.862,0.95182,2.83335,1.30202,0.79527,0.19751,0.31804,0.26418,0.72364,2.64207,1.33829,0.00224411,0.000748036,0.00224411,0.000748036,0.00224411,0.000748036,0.00224411,0.000748036
35,360.016,0.9312,2.76486,1.25964,0.5141,0.34286,0.33773,0.28239,0.67041,2.54623,1.29315,0.00221111,0.000737037,0.00221111,0.000737037,0.00221111,0.000737037,0.00221111,0.000737037
36,369.553,0.91573,2.65792,1.26318,0.33275,0.32857,0.36496,0.30919,0.63423,2.50769,1.26946,0.00217812,0.000726038,0.00217812,0.000726038,0.00217812,0.000726038,0.00217812,0.000726038
37,378.98,0.87479,2.69649,1.2513,0.32881,0.34286,0.35994,0.30372,0.65561,2.49203,1.28064,0.00214512,0.00071504,0.00214512,0.00071504,0.00214512,0.00071504,0.00214512,0.00071504
38,389.089,0.92661,2.71606,1.25561,0.33987,0.36975,0.37403,0.31121,0.66314,2.47925,1.27775,0.00211212,0.000704041,0.00211212,0.000704041,0.00211212,0.000704041,0.00211212,0.000704041
39,399.107,0.88575,2.72017,1.25427,0.44722,0.37095,0.37969,0.31938,0.68722,2.45588,1.28794,0.00207913,0.000693042,0.00207913,0.000693042,0.00207913,0.000693042,0.00207913,0.000693042
40,408.717,0.91041,2.73562,1.26806,0.39351,0.4,0.38108,0.31766,0.6768,2.44229,1.27896,0.00204613,0.000682043,0.00204613,0.000682043,0.00204613,0.000682043,0.00204613,0.000682043
41,418.248,0.94538,2.7144,1.29181,0.36624,0.41333,0.41279,0.34176,0.63306,2.41122,1.25215,0.00201313,0.000671044,0.00201313,0.000671044,0.00201313,0.000671044,0.00201313,0.000671044
42,428.028,0.99171,2.73268,1.30566,0.40423,0.44759,0.43066,0.35039,0.61614,2.39149,1.24268,0.00198014,0.000660045,0.00198014,0.000660045,0.00198014,0.000660045,0.00198014,0.000660045
43,437.974,0.92492,2.66918,1.28479,0.22603,0.46749,0.42871,0.35271,0.60845,2.34583,1.22664,0.00194714,0.000649046,0.00194714,0.000649046,0.00194714,0.000649046,0.00194714,0.000649046
44,447.872,0.91137,2.64862,1.24856,0.26555,0.51072,0.45459,0.37487,0.60511,2.32388,1.22483,0.00191414,0.000638047,0.00191414,0.000638047,0.00191414,0.000638047,0.00191414,0.000638047
45,457.674,0.85887,2.55398,1.21664,0.25162,0.48381,0.44899,0.38265,0.6099,2.28069,1.21444,0.00188115,0.000627048,0.00188115,0.000627048,0.00188115,0.000627048,0.00188115,0.000627048
46,467.539,0.85443,2.54854,1.25636,0.26152,0.49991,0.45337,0.37897,0.62754,2.25609,1.21966,0.00184815,0.000616049,0.00184815,0.000616049,0.00184815,0.000616049,0.00184815,0.000616049
47,477.255,0.83937,2.5086,1.20306,0.22939,0.52555,0.46841,0.39269,0.61466,2.2284,1.20938,0.00181515,0.000605051,0.00181515,0.000605051,0.00181515,0.000605051,0.00181515,0.000605051
48,486.678,0.82443,2.56173,1.18864,0.24611,0.56343,0.46727,0.38736,0.61103,2.20282,1.20907,0.00178216,0.000594052,0.00178216,0.000594052,0.00178216,0.000594052,0.00178216,0.000594052
49,496.171,0.80199,2.47632,1.19936,0.25199,0.58438,0.47398,0.38553,0.62,2.1989,1.21587,0.00174916,0.000583053,0.00174916,0.000583053,0.00174916,0.000583053,0.00174916,0.000583053
50,506.187,0.85226,2.52675,1.19031,0.25101,0.5834,0.48824,0.40362,0.62361,2.18691,1.21636,0.00171616,0.000572054,0.00171616,0.000572054,0.00171616,0.000572054,0.00171616,0.000572054
51,516.091,0.80657,2.43653,1.19487,0.26262,0.6219,0.50259,0.4155,0.61242,2.16015,1.20694,0.00168316,0.000561055,0.00168316,0.000561055,0.00168316,0.000561055,0.00168316,0.000561055
52,526.438,0.87244,2.55465,1.21073,0.36897,0.51831,0.50033,0.42049,0.6062,2.13424,1.1997,0.00165017,0.000550056,0.00165017,0.000550056,0.00165017,0.000550056,0.00165017,0.000550056
53,536.63,0.8266,2.39012,1.19019,0.41499,0.50117,0.52181,0.44185,0.60094,2.10462,1.1983,0.00161717,0.000539057,0.00161717,0.000539057,0.00161717,0.000539057,0.00161717,0.000539057
54,546.305,0.81642,2.37909,1.19848,0.40648,0.50154,0.53445,0.44588,0.60113,2.10237,1.19165,0.00158417,0.000528058,0.00158417,0.000528058,0.00158417,0.000528058,0.00158417,0.000528058
55,556.121,0.8525,2.52834,1.23807,0.35081,0.49714,0.51893,0.44109,0.58332,2.07401,1.17488,0.00155118,0.000517059,0.00155118,0.000517059,0.00155118,0.000517059,0.00155118,0.000517059
56,565.837,0.83251,2.46111,1.19206,0.35514,0.48348,0.52527,0.43727,0.56769,2.05276,1.16858,0.00151818,0.00050606,0.00151818,0.00050606,0.00151818,0.00050606,0.00151818,0.00050606
57,575.743,0.8454,2.46889,1.2077,0.37603,0.50991,0.54631,0.46493,0.56523,2.03991,1.16672,0.00148518,0.000495062,0.00148518,0.000495062,0.00148518,0.000495062,0.00148518,0.000495062
58,585.718,0.76872,2.35027,1.17544,0.40264,0.54282,0.54772,0.46692,0.56687,2.01584,1.16742,0.00145219,0.000484063,0.00145219,0.000484063,0.00145219,0.000484063,0.00145219,0.000484063
59,595.935,0.91093,2.47987,1.25532,0.37172,0.58141,0.56475,0.49481,0.54933,1.96574,1.15245,0.00141919,0.000473064,0.00141919,0.000473064,0.00141919,0.000473064,0.00141919,0.000473064
60,605.883,0.85661,2.42012,1.18864,0.3645,0.65748,0.57518,0.49696,0.54419,1.95206,1.14836,0.00138619,0.000462065,0.00138619,0.000462065,0.00138619,0.000462065,0.00138619,0.000462065
61,615.512,0.7575,2.25454,1.15429,0.40953,0.57216,0.57056,0.50022,0.53543,1.94031,1.14335,0.0013532,0.000451066,0.0013532,0.000451066,0.0013532,0.000451066,0.0013532,0.000451066
62,625.266,0.81907,2.3454,1.22524,0.42094,0.59153,0.57644,0.50178,0.52794,1.9383,1.14006,0.0013202,0.000440067,0.0013202,0.000440067,0.0013202,0.000440067,0.0013202,0.000440067
63,634.767,0.75968,2.25713,1.18118,0.41649,0.62018,0.57443,0.50354,0.52605,1.91911,1.13698,0.0012872,0.000429068,0.0012872,0.000429068,0.0012872,0.000429068,0.0012872,0.000429068
64,644.304,0.78745,2.29369,1.17129,0.46656,0.571,0.59553,0.52725,0.5184,1.91101,1.13387,0.00125421,0.000418069,0.00125421,0.000418069,0.00125421,0.000418069,0.00125421,0.000418069
65,654.257,0.81076,2.32314,1.18203,0.47297,0.58,0.59581,0.52825,0.51248,1.90861,1.13248,0.00122121,0.00040707,0.00122121,0.00040707,0.00122121,0.00040707,0.00122121,0.00040707
66,664.368,0.83465,2.33841,1.18277,0.50345,0.52778,0.59665,0.52758,0.50571,1.89172,1.12766,0.00118821,0.000396071,0.00118821,0.000396071,0.00118821,0.000396071,0.00118821,0.000396071
67,674.667,0.73684,2.13642,1.13346,0.47101,0.63524,0.61522,0.53134,0.51361,1.86939,1.12785,0.00115522,0.000385073,0.00115522,0.000385073,0.00115522,0.000385073,0.00115522,0.000385073
68,684.284,0.86058,2.35789,1.26254,0.48015,0.61862,0.624,0.5413,0.51771,1.86332,1.1308,0.00112222,0.000374074,0.00112222,0.000374074,0.00112222,0.000374074,0.00112222,0.000374074
69,694.094,0.78079,2.19664,1.18272,0.51705,0.61456,0.62682,0.55176,0.51136,1.83887,1.125,0.00108922,0.000363075,0.00108922,0.000363075,0.00108922,0.000363075,0.00108922,0.000363075
70,703.958,0.78007,2.30098,1.15798,0.59006,0.5787,0.64688,0.57543,0.49979,1.8133,1.11538,0.00105623,0.000352076,0.00105623,0.000352076,0.00105623,0.000352076,0.00105623,0.000352076
71,714.025,0.75283,2.29873,1.15485,0.61139,0.55577,0.67083,0.5991,0.49992,1.81653,1.11308,0.00102323,0.000341077,0.00102323,0.000341077,0.00102323,0.000341077,0.00102323,0.000341077
72,723.838,0.71529,2.22886,1.12276,0.50071,0.60571,0.64121,0.57755,0.49297,1.80662,1.10565,0.000990234,0.000330078,0.000990234,0.000330078,0.000990234,0.000330078,0.000990234,0.000330078
73,733.778,0.81914,2.20427,1.22944,0.53631,0.63988,0.66652,0.59897,0.49093,1.80218,1.10637,0.000957238,0.000319079,0.000957238,0.000319079,0.000957238,0.000319079,0.000957238,0.000319079
74,743.46,0.7739,2.22453,1.15282,0.54618,0.61128,0.67709,0.60861,0.48986,1.80748,1.1068,0.000924241,0.00030808,0.000924241,0.00030808,0.000924241,0.00030808,0.000924241,0.00030808
75,753.764,0.76984,2.103,1.16069,0.55764,0.63398,0.68875,0.62612,0.47228,1.77156,1.09301,0.000891244,0.000297081,0.000891244,0.000297081,0.000891244,0.000297081,0.000891244,0.000297081
76,763.634,0.81324,2.22169,1.21008,0.55702,0.69583,0.69305,0.62637,0.47731,1.76888,1.09679,0.000858247,0.000286083,0.000858247,0.000286083,0.000858247,0.000286083,0.000858247,0.000286083
77,773.205,0.74193,2.10041,1.13453,0.50994,0.77768,0.69583,0.6274,0.4771,1.76339,1.09663,0.000825251,0.000275084,0.000825251,0.000275084,0.000825251,0.000275084,0.000825251,0.000275084
78,783.068,0.76281,2.06049,1.18169,0.55888,0.67869,0.71022,0.63513,0.48761,1.76739,1.10095,0.000792254,0.000264085,0.000792254,0.000264085,0.000792254,0.000264085,0.000792254,0.000264085
79,792.725,0.74573,2.12266,1.15992,0.58871,0.6393,0.70885,0.63058,0.49051,1.77613,1.1022,0.000759257,0.000253086,0.000759257,0.000253086,0.000759257,0.000253086,0.000759257,0.000253086
80,802.738,0.71776,2.0341,1.14388,0.585,0.65248,0.71619,0.64055,0.48023,1.75654,1.09535,0.000726261,0.000242087,0.000726261,0.000242087,0.000726261,0.000242087,0.000726261,0.000242087
81,812.469,0.72495,2.15564,1.11951,0.5585,0.66095,0.71913,0.64274,0.49048,1.75342,1.09913,0.000693264,0.000231088,0.000693264,0.000231088,0.000693264,0.000231088,0.000693264,0.000231088
82,822.224,0.72265,2.08859,1.11934,0.6504,0.56305,0.71651,0.62783,0.50355,1.77945,1.10652,0.000660267,0.000220089,0.000660267,0.000220089,0.000660267,0.000220089,0.000660267,0.000220089
83,832.375,0.76077,2.04398,1.15903,0.56206,0.67067,0.72182,0.63575,0.48802,1.7534,1.09653,0.000627271,0.00020909,0.000627271,0.00020909,0.000627271,0.00020909,0.000627271,0.00020909
84,842.548,0.76553,2.11861,1.15323,0.53992,0.78348,0.71452,0.63128,0.48613,1.73346,1.09738,0.000594274,0.000198091,0.000594274,0.000198091,0.000594274,0.000198091,0.000594274,0.000198091
85,852.279,0.75949,2.0763,1.13988,0.52045,0.77805,0.71309,0.63481,0.48193,1.72423,1.09421,0.000561277,0.000187092,0.000561277,0.000187092,0.000561277,0.000187092,0.000561277,0.000187092
86,862.015,0.77439,2.13849,1.1603,0.55283,0.75324,0.72889,0.65071,0.47952,1.73422,1.0926,0.000528281,0.000176094,0.000528281,0.000176094,0.000528281,0.000176094,0.000528281,0.000176094
87,872.547,0.82332,2.20915,1.17638,0.52287,0.76559,0.72345,0.64921,0.47703,1.725,1.09367,0.000495284,0.000165095,0.000495284,0.000165095,0.000495284,0.000165095,0.000495284,0.000165095
88,882.489,0.71992,2.04483,1.13367,0.52534,0.77168,0.74014,0.66634,0.47329,1.71395,1.09264,0.000462287,0.000154096,0.000462287,0.000154096,0.000462287,0.000154096,0.000462287,0.000154096
89,892.671,0.78398,2.0572,1.18328,0.52679,0.76991,0.73404,0.65833,0.4844,1.71932,1.09649,0.00042929,0.000143097,0.00042929,0.000143097,0.00042929,0.000143097,0.00042929,0.000143097
90,902.534,0.77555,2.11055,1.20056,0.54314,0.75385,0.74061,0.66733,0.47688,1.71588,1.09143,0.000396294,0.000132098,0.000396294,0.000132098,0.000396294,0.000132098,0.000396294,0.000132098
91,912.608,0.79217,2.08841,1.15849,0.5619,0.80188,0.74309,0.66834,0.47579,1.69754,1.0927,0.000363297,0.000121099,0.000363297,0.000121099,0.000363297,0.000121099,0.000363297,0.000121099
92,922.076,0.73985,1.98292,1.14731,0.54182,0.80779,0.74637,0.67473,0.47482,1.7014,1.09187,0.0003303,0.0001101,0.0003303,0.0001101,0.0003303,0.0001101,0.0003303,0.0001101
93,931.965,0.79505,2.06821,1.22223,0.55402,0.78823,0.73546,0.66523,0.47105,1.69394,1.09148,0.000297304,9.91012e-05,0.000297304,9.91012e-05,0.000297304,9.91012e-05,0.000297304,9.91012e-05
94,941.641,0.6917,2.01959,1.12578,0.53787,0.78632,0.73007,0.66158,0.46993,1.68778,1.08973,0.000264307,8.81023e-05,0.000264307,8.81023e-05,0.000264307,8.81023e-05,0.000264307,8.81023e-05
95,951.236,0.72844,2.1006,1.13635,0.74932,0.57218,0.74123,0.67238,0.47328,1.70042,1.09102,0.00023131,7.71034e-05,0.00023131,7.71034e-05,0.00023131,7.71034e-05,0.00023131,7.71034e-05
96,961.026,0.81303,2.05702,1.16786,0.54785,0.74314,0.74203,0.67286,0.47227,1.69844,1.09049,0.000198314,6.61045e-05,0.000198314,6.61045e-05,0.000198314,6.61045e-05,0.000198314,6.61045e-05
97,970.777,0.73992,1.97994,1.09388,0.54431,0.75689,0.74682,0.67697,0.47698,1.70955,1.09298,0.000165317,5.51056e-05,0.000165317,5.51056e-05,0.000165317,5.51056e-05,0.000165317,5.51056e-05
98,980.315,0.7695,2.05157,1.15602,0.54901,0.74459,0.73524,0.66503,0.48211,1.70607,1.09742,0.00013232,4.41067e-05,0.00013232,4.41067e-05,0.00013232,4.41067e-05,0.00013232,4.41067e-05
99,990.327,0.82289,2.13255,1.18757,0.53825,0.78217,0.73175,0.65712,0.4817,1.71796,1.0956,9.93234e-05,3.31078e-05,9.93234e-05,3.31078e-05,9.93234e-05,3.31078e-05,9.93234e-05,3.31078e-05
100,1000.46,0.7315,1.99485,1.13402,0.53701,0.78821,0.74472,0.67262,0.47387,1.70752,1.09278,6.63267e-05,2.21089e-05,6.63267e-05,2.21089e-05,6.63267e-05,2.21089e-05,6.63267e-05,2.21089e-05
